Date : 2021-08-25 18:11:26
Directory : c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0
Total : 1077 files,  76948 codes, 17749 comments, 11184 blanks, all 105881 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\reppoints\metafile.yml                                                                          | YAML             |        119 |          0 |          9 |        128 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\reppoints\reppoints_minmax_r50_fpn_gn-neck+head_1x_coco.py                                      | Python           |          2 |          0 |          1 |          3 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\reppoints\reppoints_moment_r101_fpn_dconv_c3-c5_gn-neck+head_2x_coco.py                         | Python           |          7 |          0 |          1 |          8 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\reppoints\reppoints_moment_r101_fpn_gn-neck+head_2x_coco.py                                     | Python           |          2 |          0 |          1 |          3 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\reppoints\reppoints_moment_r50_fpn_1x_coco.py                                                   | Python           |         66 |          1 |          1 |         68 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\reppoints\reppoints_moment_r50_fpn_gn-neck+head_1x_coco.py                                      | Python           |          4 |          0 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\reppoints\reppoints_moment_r50_fpn_gn-neck+head_2x_coco.py                                      | Python           |          3 |          0 |          1 |          4 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\reppoints\reppoints_moment_x101_fpn_dconv_c3-c5_gn-neck+head_2x_coco.py                         | Python           |         15 |          0 |          1 |         16 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\reppoints\reppoints_partial_minmax_r50_fpn_gn-neck+head_1x_coco.py                              | Python           |          2 |          0 |          1 |          3 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\res2net\README.md                                                                               | Markdown         |         44 |          1 |         21 |         66 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\res2net\cascade_mask_rcnn_r2_101_fpn_20e_coco.py                                                | Python           |          4 |          0 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\res2net\cascade_rcnn_r2_101_fpn_20e_coco.py                                                     | Python           |          4 |          0 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\res2net\faster_rcnn_r2_101_fpn_2x_coco.py                                                       | Python           |          4 |          0 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\res2net\htc_r2_101_fpn_20e_coco.py                                                              | Python           |          6 |          1 |          1 |          8 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\res2net\mask_rcnn_r2_101_fpn_2x_coco.py                                                         | Python           |          4 |          0 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\res2net\metafile.yml                                                                            | YAML             |         84 |          0 |          6 |         90 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\resnest\README.md                                                                               | Markdown         |         32 |          0 |         13 |         45 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\resnest\cascade_mask_rcnn_s101_fpn_syncbn-backbone+head_mstrain_1x_coco.py                      | Python           |          4 |          0 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\resnest\cascade_mask_rcnn_s50_fpn_syncbn-backbone+head_mstrain_1x_coco.py                       | Python           |        117 |          1 |          1 |        119 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\resnest\cascade_rcnn_s101_fpn_syncbn-backbone+head_mstrain-range_1x_coco.py                     | Python           |          4 |          0 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\resnest\cascade_rcnn_s50_fpn_syncbn-backbone+head_mstrain-range_1x_coco.py                      | Python           |        115 |          1 |          1 |        117 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\resnest\faster_rcnn_s101_fpn_syncbn-backbone+head_mstrain-range_1x_coco.py                      | Python           |          4 |          0 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\resnest\faster_rcnn_s50_fpn_syncbn-backbone+head_mstrain-range_1x_coco.py                       | Python           |         61 |          1 |          1 |         63 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\resnest\mask_rcnn_s101_fpn_syncbn-backbone+head_mstrain_1x_coco.py                              | Python           |          4 |          0 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\resnest\mask_rcnn_s50_fpn_syncbn-backbone+head_mstrain_1x_coco.py                               | Python           |         63 |          1 |          1 |         65 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\resnest\metafile.yml                                                                            | YAML             |        123 |          0 |          9 |        132 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\retinanet\README.md                                                                             | Markdown         |         23 |          1 |          6 |         30 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\retinanet\metafile.yml                                                                          | YAML             |        137 |          0 |         11 |        148 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\retinanet\retinanet_r101_caffe_fpn_1x_coco.py                                                   | Python           |          4 |          0 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\retinanet\retinanet_r101_fpn_1x_coco.py                                                         | Python           |          2 |          0 |          1 |          3 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\retinanet\retinanet_r101_fpn_2x_coco.py                                                         | Python           |          2 |          0 |          1 |          3 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\retinanet\retinanet_r50_caffe_fpn_1x_coco.py                                                    | Python           |         36 |          1 |          1 |         38 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\retinanet\retinanet_r50_caffe_fpn_mstrain_1x_coco.py                                            | Python           |         41 |          1 |          1 |         43 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\retinanet\retinanet_r50_caffe_fpn_mstrain_2x_coco.py                                            | Python           |          3 |          1 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\retinanet\retinanet_r50_caffe_fpn_mstrain_3x_coco.py                                            | Python           |          3 |          1 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\retinanet\retinanet_r50_fpn_1x_coco.py                                                          | Python           |          6 |          1 |          1 |          8 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\retinanet\retinanet_r50_fpn_2x_coco.py                                                          | Python           |          3 |          1 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\retinanet\retinanet_x101_32x4d_fpn_1x_coco.py                                                   | Python           |         13 |          0 |          1 |         14 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\retinanet\retinanet_x101_32x4d_fpn_2x_coco.py                                                   | Python           |         13 |          0 |          1 |         14 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\retinanet\retinanet_x101_64x4d_fpn_1x_coco.py                                                   | Python           |         13 |          0 |          1 |         14 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\retinanet\retinanet_x101_64x4d_fpn_2x_coco.py                                                   | Python           |         13 |          0 |          1 |         14 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\rpn\README.md                                                                                   | Markdown         |         23 |          1 |          6 |         30 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\rpn\rpn_r101_caffe_fpn_1x_coco.py                                                               | Python           |          4 |          0 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\rpn\rpn_r101_fpn_1x_coco.py                                                                     | Python           |          2 |          0 |          1 |          3 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\rpn\rpn_r101_fpn_2x_coco.py                                                                     | Python           |          2 |          0 |          1 |          3 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\rpn\rpn_r50_caffe_c4_1x_coco.py                                                                 | Python           |         37 |          1 |          1 |         39 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\rpn\rpn_r50_caffe_fpn_1x_coco.py                                                                | Python           |         36 |          1 |          1 |         38 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\rpn\rpn_r50_fpn_1x_coco.py                                                                      | Python           |         18 |          0 |          1 |         19 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\rpn\rpn_r50_fpn_2x_coco.py                                                                      | Python           |          3 |          1 |          2 |          6 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\rpn\rpn_x101_32x4d_fpn_1x_coco.py                                                               | Python           |         13 |          0 |          1 |         14 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\rpn\rpn_x101_32x4d_fpn_2x_coco.py                                                               | Python           |         13 |          0 |          1 |         14 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\rpn\rpn_x101_64x4d_fpn_1x_coco.py                                                               | Python           |         13 |          0 |          1 |         14 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\rpn\rpn_x101_64x4d_fpn_2x_coco.py                                                               | Python           |         13 |          0 |          1 |         14 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\sabl\README.md                                                                                  | Markdown         |         28 |          1 |          9 |         38 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\sabl\metafile.yml                                                                               | YAML             |        125 |          0 |         11 |        136 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\sabl\sabl_cascade_rcnn_r101_fpn_1x_coco.py                                                      | Python           |         87 |          1 |          1 |         89 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\sabl\sabl_cascade_rcnn_r50_fpn_1x_coco.py                                                       | Python           |         85 |          1 |          1 |         87 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\sabl\sabl_faster_rcnn_r101_fpn_1x_coco.py                                                       | Python           |         36 |          0 |          1 |         37 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\sabl\sabl_faster_rcnn_r50_fpn_1x_coco.py                                                        | Python           |         34 |          0 |          1 |         35 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\sabl\sabl_retinanet_r101_fpn_1x_coco.py                                                         | Python           |         49 |          3 |          1 |         53 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\sabl\sabl_retinanet_r101_fpn_gn_1x_coco.py                                                      | Python           |         51 |          3 |          1 |         55 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\sabl\sabl_retinanet_r101_fpn_gn_2x_ms_480_960_coco.py                                           | Python           |         68 |          3 |          1 |         72 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\sabl\sabl_retinanet_r101_fpn_gn_2x_ms_640_800_coco.py                                           | Python           |         68 |          3 |          1 |         72 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\sabl\sabl_retinanet_r50_fpn_1x_coco.py                                                          | Python           |         47 |          3 |          1 |         51 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\sabl\sabl_retinanet_r50_fpn_gn_1x_coco.py                                                       | Python           |         49 |          3 |          1 |         53 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\scnet\README.md                                                                                 | Markdown         |         38 |          1 |         13 |         52 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\scnet\metafile.yml                                                                              | YAML             |         83 |          0 |          5 |         88 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\scnet\scnet_r101_fpn_20e_coco.py                                                                | Python           |          2 |          0 |          1 |          3 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\scnet\scnet_r50_fpn_1x_coco.py                                                                  | Python           |        112 |         23 |          2 |        137 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\scnet\scnet_r50_fpn_20e_coco.py                                                                 | Python           |          3 |          1 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\scnet\scnet_x101_64x4d_fpn_20e_coco.py                                                          | Python           |         14 |          0 |          1 |         15 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\scnet\scnet_x101_64x4d_fpn_8x1_20e_coco.py                                                      | Python           |          3 |          0 |          1 |          4 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\scratch\README.md                                                                               | Markdown         |         17 |          1 |          8 |         26 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\scratch\faster_rcnn_r50_fpn_gn-all_scratch_6x_coco.py                                           | Python           |         20 |          2 |          1 |         23 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\scratch\mask_rcnn_r50_fpn_gn-all_scratch_6x_coco.py                                             | Python           |         21 |          2 |          1 |         24 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\scratch\metafile.yml                                                                            | YAML             |         41 |          0 |          3 |         44 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\seesaw_loss\README.md                                                                           | Markdown         |         28 |          1 |         11 |         40 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\seesaw_loss\cascade_mask_rcnn_r101_fpn_random_seesaw_loss_mstrain_2x_lvis_v1.py                 | Python           |        128 |          1 |          2 |        131 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\seesaw_loss\cascade_mask_rcnn_r101_fpn_random_seesaw_loss_normed_mask_mstrain_2x_lvis_v1.py     | Python           |          5 |          0 |          1 |          6 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\seesaw_loss\cascade_mask_rcnn_r101_fpn_sample1e-3_seesaw_loss_mstrain_2x_lvis_v1.py             | Python           |         94 |          1 |          2 |         97 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\seesaw_loss\cascade_mask_rcnn_r101_fpn_sample1e-3_seesaw_loss_normed_mask_mstrain_2x_lvis_v1.py | Python           |          5 |          0 |          1 |          6 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\seesaw_loss\mask_rcnn_r101_fpn_random_seesaw_loss_mstrain_2x_lvis_v1.py                         | Python           |          2 |          0 |          1 |          3 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\seesaw_loss\mask_rcnn_r101_fpn_random_seesaw_loss_normed_mask_mstrain_2x_lvis_v1.py             | Python           |          2 |          0 |          1 |          3 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\seesaw_loss\mask_rcnn_r101_fpn_sample1e-3_seesaw_loss_mstrain_2x_lvis_v1.py                     | Python           |          2 |          0 |          1 |          3 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\seesaw_loss\mask_rcnn_r101_fpn_sample1e-3_seesaw_loss_normed_mask_mstrain_2x_lvis_v1.py         | Python           |          2 |          0 |          1 |          3 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\seesaw_loss\mask_rcnn_r50_fpn_random_seesaw_loss_mstrain_2x_lvis_v1.py                          | Python           |         74 |          1 |          1 |         76 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\seesaw_loss\mask_rcnn_r50_fpn_random_seesaw_loss_normed_mask_mstrain_2x_lvis_v1.py              | Python           |          5 |          0 |          1 |          6 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\seesaw_loss\mask_rcnn_r50_fpn_sample1e-3_seesaw_loss_mstrain_2x_lvis_v1.py                      | Python           |         40 |          1 |          1 |         42 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\seesaw_loss\mask_rcnn_r50_fpn_sample1e-3_seesaw_loss_normed_mask_mstrain_2x_lvis_v1.py          | Python           |          5 |          0 |          1 |          6 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\selfsup_pretrain\README.md                                                                      | Markdown         |         67 |          1 |         28 |         96 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\selfsup_pretrain\mask_rcnn_r50_fpn_mocov2-pretrain_1x_coco.py                                   | Python           |         11 |          0 |          2 |         13 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\selfsup_pretrain\mask_rcnn_r50_fpn_mocov2-pretrain_ms-2x_coco.py                                | Python           |         28 |          0 |          4 |         32 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\selfsup_pretrain\mask_rcnn_r50_fpn_swav-pretrain_1x_coco.py                                     | Python           |         11 |          0 |          2 |         13 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\selfsup_pretrain\mask_rcnn_r50_fpn_swav-pretrain_ms-2x_coco.py                                  | Python           |         28 |          0 |          4 |         32 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\sparse_rcnn\README.md                                                                           | Markdown         |         20 |          1 |          8 |         29 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\sparse_rcnn\metafile.yml                                                                        | YAML             |         70 |          0 |          6 |         76 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\sparse_rcnn\sparse_rcnn_r101_fpn_300_proposals_crop_mstrain_480-800_3x_coco.py                  | Python           |          2 |          0 |          2 |          4 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\sparse_rcnn\sparse_rcnn_r101_fpn_mstrain_480-800_3x_coco.py                                     | Python           |          2 |          0 |          2 |          4 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\sparse_rcnn\sparse_rcnn_r50_fpn_1x_coco.py                                                      | Python           |         91 |          3 |          2 |         96 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\sparse_rcnn\sparse_rcnn_r50_fpn_300_proposals_crop_mstrain_480-800_3x_coco.py                   | Python           |         50 |          1 |          2 |         53 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\sparse_rcnn\sparse_rcnn_r50_fpn_mstrain_480-800_3x_coco.py                                      | Python           |         21 |          0 |          3 |         24 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\ssd\README.md                                                                                   | Markdown         |         15 |          1 |          6 |         22 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\ssd\metafile.yml                                                                                | YAML             |         37 |          0 |          3 |         40 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\ssd\ssd300_coco.py                                                                              | Python           |         60 |          2 |          1 |         63 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\ssd\ssd512_coco.py                                                                              | Python           |         69 |          2 |          1 |         72 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\tridentnet\README.md                                                                            | Markdown         |         19 |          1 |          9 |         29 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\tridentnet\metafile.yml                                                                         | YAML             |         47 |          0 |          4 |         51 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\tridentnet\tridentnet_r50_caffe_1x_coco.py                                                      | Python           |         50 |          1 |          3 |         54 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\tridentnet\tridentnet_r50_caffe_mstrain_1x_coco.py                                              | Python           |         19 |          1 |          3 |         23 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\tridentnet\tridentnet_r50_caffe_mstrain_3x_coco.py                                              | Python           |          3 |          0 |          2 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\vfnet\README.md                                                                                 | Markdown         |         32 |          1 |         11 |         44 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\vfnet\metafile.yml                                                                              | YAML             |        103 |          0 |          9 |        112 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\vfnet\vfnet_r101_fpn_1x_coco.py                                                                 | Python           |          2 |          0 |          1 |          3 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\vfnet\vfnet_r101_fpn_2x_coco.py                                                                 | Python           |          4 |          0 |          1 |          5 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\vfnet\vfnet_r101_fpn_mdconv_c3-c5_mstrain_2x_coco.py                                            | Python           |         14 |          0 |          1 |         15 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\vfnet\vfnet_r101_fpn_mstrain_2x_coco.py                                                         | Python           |          2 |          0 |          1 |          3 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\vfnet\vfnet_r2_101_fpn_mdconv_c3-c5_mstrain_2x_coco.py                                          | Python           |         16 |          0 |          1 |         17 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\vfnet\vfnet_r2_101_fpn_mstrain_2x_coco.py                                                       | Python           |         14 |          0 |          1 |         15 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\vfnet\vfnet_r50_fpn_1x_coco.py                                                                  | Python           |        101 |          5 |          3 |        109 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\vfnet\vfnet_r50_fpn_mdconv_c3-c5_mstrain_2x_coco.py                                             | Python           |          6 |          0 |          1 |          7 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\vfnet\vfnet_r50_fpn_mstrain_2x_coco.py                                                          | Python           |         38 |          1 |          1 |         40 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\vfnet\vfnet_x101_32x4d_fpn_mdconv_c3-c5_mstrain_2x_coco.py                                      | Python           |         16 |          0 |          1 |         17 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\vfnet\vfnet_x101_32x4d_fpn_mstrain_2x_coco.py                                                   | Python           |         14 |          0 |          1 |         15 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\vfnet\vfnet_x101_64x4d_fpn_mdconv_c3-c5_mstrain_2x_coco.py                                      | Python           |         16 |          0 |          1 |         17 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\vfnet\vfnet_x101_64x4d_fpn_mstrain_2x_coco.py                                                   | Python           |         14 |          0 |          1 |         15 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\wider_face\README.md                                                                            | Markdown         |         36 |          1 |          7 |         44 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\wider_face\ssd300_wider_face.py                                                                 | Python           |         15 |          3 |          1 |         19 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\yolact\README.md                                                                                | Markdown         |         39 |         14 |         19 |         72 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\yolact\metafile.yml                                                                             | YAML             |         47 |          0 |          4 |         51 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\yolact\yolact_r101_1x8_coco.py                                                                  | Python           |          2 |          0 |          2 |          4 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\yolact\yolact_r50_1x8_coco.py                                                                   | Python           |        153 |          6 |          2 |        161 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\yolact\yolact_r50_8x8_coco.py                                                                   | Python           |          9 |          1 |          2 |         12 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\yolo\README.md                                                                                  | Markdown         |         25 |          1 |         11 |         37 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\yolo\metafile.yml                                                                               | YAML             |         65 |          0 |          5 |         70 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\yolo\yolov3_d53_320_273e_coco.py                                                                | Python           |         41 |          1 |          1 |         43 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\yolo\yolov3_d53_fp16_mstrain-608_273e_coco.py                                                   | Python           |          2 |          1 |          1 |          4 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\yolo\yolov3_d53_mstrain-416_273e_coco.py                                                        | Python           |         41 |          1 |          1 |         43 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\yolo\yolov3_d53_mstrain-608_273e_coco.py                                                        | Python           |        118 |          6 |          1 |        125 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\yolof\README.md                                                                                 | Markdown         |         17 |          1 |          8 |         26 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\yolof\metafile.yml                                                                              | YAML             |         26 |          0 |          2 |         28 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\yolof\yolof_r50_c5_8x8_1x_coco.py                                                               | Python           |         99 |          3 |          2 |        104 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\yolof\yolof_r50_c5_8x8_iter-1x_coco.py                                                          | Python           |          6 |          7 |          2 |         15 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\demo\MMDet_Tutorial.ipynb                                                                               | Jupyter          |      1,656 |          0 |          1 |      1,657 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\demo\create_result_gif.py                                                                               | Python           |        111 |         24 |         28 |        163 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\demo\image_demo.py                                                                                      | Python           |         34 |          6 |         10 |         50 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\demo\inference_demo.ipynb                                                                               | Jupyter          |        100 |          0 |          1 |        101 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\demo\video_demo.py                                                                                      | Python           |         48 |          0 |         13 |         61 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\demo\webcam_demo.py                                                                                     | Python           |         32 |          0 |         15 |         47 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\docs\1_exist_data_model.md                                                                              | Markdown         |        428 |          0 |        142 |        570 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\docs\2_new_data_model.md                                                                                | Markdown         |        218 |          0 |         46 |        264 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\docs\3_exist_data_new_model.md                                                                          | Markdown         |        231 |          0 |         45 |        276 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\docs\Makefile                                                                                           | Makefile         |          9 |          7 |          5 |         21 |
| c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\docs\changelog.md                                                                                       | Markdown         |        691 |          0 |        194 |        885 |
